Action,,,,,,,,,
Action,,,,,,,,,
Action,,,,,,,,,
Action,,,,,,,,,
Action,,,,,,,,,
Action,,,,,,,,,
Action,,,,,,,,,
Action,,,,,,,,,
Action,,,,,,,,,
Action,,,,,,,,,
Action,,,,,,,,,
Action,,,,,,,,,
Action,,,,,,,,,
Action,,,,,,,,,
Action,,,,,,,,,
Action,,,,,,,,,
Action,,,,,,,,,
Action,,,,,,,,,
Action,,,,,,,,,
Action,,,,,,,,,
Action,FreeToPlay,,,,,,,,
Action,,,,,,,,,
Action,,,,,,,,,
Action,Strategy,FreeToPlay,,,,,,,
Action,Adventure,,,,,,,,
Action,,,,,,,,,
Action,Adventure,,,,,,,,
Action,,,,,,,,,
Indie,,,,,,,,,
Action,,,,,,,,,
Action,,,,,,,,,
Action,,,,,,,,,
Action,,,,,,,,,
Action,,,,,,,,,
Indie,Strategy,,,,,,,,
Indie,Strategy,,,,,,,,
Indie,Strategy,,,,,,,,
Indie,,,,,,,,,
Strategy,,,,,,,,,
Strategy,,,,,,,,,
Strategy,,,,,,,,,
Strategy,,,,,,,,,
Strategy,,,,,,,,,
Strategy,,,,,,,,,
Strategy,,,,,,,,,
RPG,,,,,,,,,
NonGame,,,,,,,,,
Strategy,,,,,,,,,
RPG,,,,,,,,,
Action,RPG,,,,,,,,
Action,RPG,,,,,,,,
Action,,,,,,,,,
Action,,,,,,,,,
Action,,,,,,,,,
Action,,,,,,,,,
Action,,,,,,,,,
Action,,,,,,,,,
Action,,,,,,,,,
Action,,,,,,,,,
Action,,,,,,,,,
Action,,,,,,,,,
Action,,,,,,,,,
Action,,,,,,,,,
Action,,,,,,,,,
Action,,,,,,,,,
Indie,Action,RPG,,,,,,,
Indie,Action,RPG,,,,,,,
Action,,,,,,,,,
Action,,,,,,,,,
Indie,Casual,,,,,,,,
Indie,Casual,,,,,,,,
Indie,Casual,,,,,,,,
Indie,Casual,,,,,,,,
Indie,Casual,,,,,,,,
Indie,RPG,,,,,,,,
Action,,,,,,,,,
Action,,,,,,,,,
Action,,,,,,,,,
Action,,,,,,,,,
Action,,,,,,,,,
Action,,,,,,,,,
Strategy,Simulation,,,,,,,,
Action,,,,,,,,,
Indie,Action,Strategy,,,,,,,
Action,,,,,,,,,
Strategy,,,,,,,,,
Strategy,,,,,,,,,
Action,Strategy,Simulation,,,,,,,
Strategy,Simulation,,,,,,,,
Strategy,Simulation,,,,,,,,
Action,Simulation,,,,,,,,
Strategy,,,,,,,,,
Strategy,,,,,,,,,
Strategy,,,,,,,,,
Racing,,,,,,,,,
Racing,,,,,,,,,
Racing,,,,,,,,,
Action,,,,,,,,,
Racing,,,,,,,,,
Strategy,,,,,,,,,
Strategy,RPG,,,,,,,,
Action,,,,,,,,,
Strategy,,,,,,,,,
Adventure,Casual,,,,,,,,
Action,,,,,,,,,
Casual,,,,,,,,,
Casual,,,,,,,,,
Casual,,,,,,,,,
Casual,,,,,,,,,
Casual,,,,,,,,,
Casual,,,,,,,,,
Casual,,,,,,,,,
Casual,,,,,,,,,
Casual,,,,,,,,,
Casual,,,,,,,,,
Casual,,,,,,,,,
Casual,,,,,,,,,
Casual,,,,,,,,,
Casual,,,,,,,,,
Casual,,,,,,,,,
Casual,,,,,,,,,
Casual,,,,,,,,,
Casual,,,,,,,,,
Casual,,,,,,,,,
Casual,,,,,,,,,
Casual,,,,,,,,,
Casual,,,,,,,,,
Casual,,,,,,,,,
Casual,,,,,,,,,
Casual,Strategy,,,,,,,,
Casual,,,,,,,,,
Casual,,,,,,,,,
Strategy,,,,,,,,,
Casual,,,,,,,,,
